"id","order","score","weight","color","label"
"FIS",1.1,76,1,"#9E0041","romantic"
"MAR",1.3,38,1,"#C32F4B","intimate"
"AO",2,43,5,"#E1514B","touristy"
"NP",3,76,2,"#F47245","hipster"
"CS",4,16,1,"#FB9F59","divey"
"CP",5,72,1,"#FEC574","classy"
"TR",6,86,3,"#FAE38C","trendy"
"GS",7,57,3,"#FEC574","upscale"
"BX",8,53,2,"#FAE38C","casual"
